type,name,description
Widgets,Colorpicker,"Color Picker"
Widgets,Number,"Number"
Widgets,Rollershutter,"Rollershutter"
Widgets,Slider,"Slider"
Widgets,Switch,"Switch"
Widgets,Text,"Text"
Widgets,Group,"Group"
Weather,Sun,"sun"
Weather,Moon,"Moon"
Weather,Clouds,"Clouds"
Weather,Sun_Clouds,"Sun & Clouds"
Weather,Rain,"Rain"
Weather,Snow,"Snow"
Weather,Wind,"Wind"
Weather,Humidity,"Humidity"
Weather,Temperature,"Temperature"
Properties,BatteryLevel,"Battery Level"
Properties,LowBattery,"Low Battery"
Properties,CarbonDioxide,"Carbondioxide"
Properties,Energy,"Energy"
Properties,Gas,"Gas"
Properties,Oil,"Oil"
Properties,Water,"Water"
Properties,Light,"Light"
Properties,ColorLight,"Color Light"
Properties,Temperature,"Temperature"
Properties,Smoke,"Smoke"
Properties,SoundVolume,"Sound Volume"
Properties,Pressure,"Pressure"
Properties,Fire,"Fire"
Properties,Motion,"Motion"
Properties,QualityOfService,"Quality of Service"
Properties,Moisture,"Moisture"
Properties,Noise,"Noise"
Properties,Flow,"Flow"
Properties,Price,"Price"
Properties,Time,"Time"
Control,Heating,"Heating Control"
Control,MediaControl,"Media Control"
Control,MoveControl,"Move Control"
Control,Zoom,"Zoom"
Purpose,Alarm,"Alarm"
Purpose,Presence,"Presence"
Purpose,Vacation,"Vacation"
Purpose,Party,"Party"
